# Wavelength  (nm), QE (%)
714.552580, 11.879520
715.284968, 11.830567
716.018388, 11.781544
716.752941, 11.732458
717.488723, 11.683319
718.225833, 11.634135
718.964370, 11.584915
719.704431, 11.535667
720.446114, 11.486399
721.189517, 11.437119
721.934740, 11.387835
722.681879, 11.338556
723.431033, 11.289288
724.182301, 11.240040
724.935779, 11.190819
725.691567, 11.141632
726.449763, 11.092487
727.210464, 11.043390
727.973770, 10.994350
728.739777, 10.945373
729.508584, 10.896465
730.280290, 10.847635
731.054992, 10.798887
731.832788, 10.750229
732.613777, 10.701667
733.398057, 10.653208
734.185726, 10.604857
734.185726, 10.604857
734.984133, 10.556346
735.800042, 10.507409
736.633013, 10.458061
737.482611, 10.408316
738.348396, 10.358188
739.229930, 10.307691
740.126776, 10.256840
741.038496, 10.205648
741.964652, 10.154129
742.904806, 10.102296
743.858519, 10.050164
744.825355, 9.997745
745.804875, 9.945052
746.796640, 9.892100
747.800214, 9.838900
748.815158, 9.785467
749.841034, 9.731813
750.877405, 9.677949
751.923831, 9.623890
752.979877, 9.569647
754.045102, 9.515233
755.119070, 9.460660
756.201343, 9.405940
757.291482, 9.351084
758.389050, 9.296104
759.493609, 9.241012
760.604720, 9.185820
761.721947, 9.130538
762.844850, 9.075177
763.972992, 9.019749
765.105935, 8.964264
766.243241, 8.908733
767.384472, 8.853166
768.529190, 8.797574
769.676957, 8.741966
770.827336, 8.686353
771.979888, 8.630745
773.134175, 8.575150
774.289760, 8.519579
775.446204, 8.464041
776.603069, 8.408545
777.759918, 8.353100
778.916313, 8.297714
780.071815, 8.242397
781.225987, 8.187157
782.378391, 8.132002
783.528589, 8.076940
784.676142, 8.021980
785.820614, 7.967129
786.961565, 7.912395
788.098559, 7.857785
789.231156, 7.803307
790.358920, 7.748968
791.481412, 7.694774
792.598194, 7.640733
793.708828, 7.586852
794.812877, 7.533137
795.909902, 7.479594
796.999465, 7.426229
798.081129, 7.373050
799.154456, 7.320060
800.219007, 7.267267
801.274345, 7.214676
802.320032, 7.162293
803.355629, 7.110122
804.380699, 7.058169
805.394804, 7.006438
806.397506, 6.954936
807.388367, 6.903666
808.366949, 6.852633
809.332814, 6.801841
810.285524, 6.751296
811.224641, 6.701000
812.149728, 6.650958
813.060346, 6.601174
813.956057, 6.551652
814.836424, 6.502395
815.701008, 6.453407
816.549371, 6.404691
817.381076, 6.356250
818.195685, 6.308088
818.992759, 6.260208
819.771862, 6.212612
820.532553, 6.165303
821.274397, 6.118284
821.996955, 6.071557
822.699788, 6.025126
823.382460, 5.978991
824.044531, 5.933155
824.685565, 5.887621
825.305122, 5.842391
825.902766, 5.797465
826.478058, 5.752847
827.030561, 5.708537
827.559835, 5.664537
828.065445, 5.620850
828.546950, 5.577475
829.003914, 5.534415
829.435899, 5.491671
829.435899, 5.491671
829.854228, 5.449099
830.270064, 5.406548
830.683410, 5.364021
831.094267, 5.321522
831.502639, 5.279055
831.908528, 5.236624
832.311937, 5.194233
832.712867, 5.151886
833.111323, 5.109586
833.507305, 5.067339
833.900818, 5.025147
834.291863, 4.983014
834.680442, 4.940945
835.066560, 4.898942
835.450217, 4.857011
835.831417, 4.815153
836.210162, 4.773374
836.586455, 4.731676
836.960298, 4.690064
837.331694, 4.648541
837.700645, 4.607110
838.067154, 4.565775
838.431224, 4.524540
838.792857, 4.483407
839.152055, 4.442382
839.508822, 4.401466
839.863159, 4.360663
840.215069, 4.319976
840.564556, 4.279410
840.911620, 4.238966
841.256266, 4.198649
841.598495, 4.158461
841.938310, 4.118405
842.275714, 4.078485
842.610709, 4.038704
842.943298, 3.999064
843.273483, 3.959569
843.601267, 3.920222
843.926652, 3.881025
844.249641, 3.841982
844.570237, 3.803094
844.888441, 3.764366
845.204258, 3.725799
845.517688, 3.687396
845.828735, 3.649160
846.137402, 3.611094
846.443690, 3.573200
846.747603, 3.535480
847.049142, 3.497937
847.348311, 3.460574
847.645113, 3.423392
847.939548, 3.386395
848.231621, 3.349584
848.521334, 3.312961
848.808689, 3.276529
849.093689, 3.240290
849.376336, 3.204246
849.656633, 3.168399
849.934583, 3.132751
850.210187, 3.097304
850.483449, 3.062060
850.754372, 3.027020
851.022957, 2.992187
851.289208, 2.957562
851.553126, 2.923148
851.814715, 2.888944
852.073976, 2.854954
852.330913, 2.821179
852.585528, 2.787620
852.837824, 2.754279
853.087803, 2.721157
853.335468, 2.688255
853.580821, 2.655576
853.823865, 2.623119
854.064602, 2.590887
854.303035, 2.558881
854.539167, 2.527101
854.773000, 2.495549
855.004536, 2.464226
855.233779, 2.433132
855.460730, 2.402270
855.685392, 2.371639
855.907769, 2.341240
856.127862, 2.311075
856.345673, 2.281144
856.561207, 2.251448
856.774464, 2.221987
856.985448, 2.192762
857.194161, 2.163774
857.400606, 2.135024
857.604785, 2.106510
857.806701, 2.078236
858.006356, 2.050199
858.203753, 2.022402
858.398895, 1.994843
858.591784, 1.967524
858.782423, 1.940445
858.970813, 1.913606
859.156959, 1.887007
859.156959, 1.887007
859.342724, 1.860596
859.529949, 1.834327
859.718599, 1.808209
859.908638, 1.782253
860.100032, 1.756466
860.292744, 1.730858
860.486739, 1.705435
860.681983, 1.680206
860.878440, 1.655178
