# Wavelength  (nm), QE (%)
510.030162, 18.726922
510.315679, 18.669464
510.599232, 18.611228
510.880781, 18.552207
511.160288, 18.492394
511.437712, 18.431784
511.713016, 18.370371
511.986159, 18.308150
512.257103, 18.245115
512.525809, 18.181262
512.792237, 18.116587
513.056349, 18.051085
513.318105, 17.984753
513.577467, 17.917586
513.834394, 17.849582
514.088849, 17.780738
514.340792, 17.711052
514.590183, 17.640521
514.836984, 17.569143
515.081156, 17.496918
515.322659, 17.423843
515.561455, 17.349918
515.797503, 17.275142
516.030766, 17.199516
516.261205, 17.123039
516.488779, 17.045713
516.713450, 16.967538
516.935178, 16.888516
517.153926, 16.808647
517.369653, 16.727935
517.582320, 16.646382
517.582320, 16.646382
517.793071, 16.564323
518.003271, 16.482070
518.212953, 16.399647
518.422147, 16.317077
518.630885, 16.234382
518.839198, 16.151585
519.047118, 16.068708
519.254676, 15.985772
519.461903, 15.902798
519.668830, 15.819809
519.875490, 15.736823
520.081913, 15.653862
520.288130, 15.570946
520.494173, 15.488093
520.700074, 15.405323
520.905863, 15.322654
521.111572, 15.240106
521.317232, 15.157696
521.522875, 15.075442
521.728532, 14.993361
521.934234, 14.911470
522.140012, 14.829787
522.345899, 14.748327
522.551925, 14.667106
522.758121, 14.586140
522.964520, 14.505444
523.171152, 14.425033
523.378048, 14.344922
523.585240, 14.265126
523.792760, 14.185657
524.000638, 14.106530
524.208906, 14.027758
524.417596, 13.949354
524.626738, 13.871331
524.836364, 13.793700
525.046505, 13.716475
525.257193, 13.639667
525.468459, 13.563287
525.680335, 13.487347
525.892851, 13.411857
526.106039, 13.336828
526.319930, 13.262271
526.534556, 13.188194
526.749948, 13.114609
526.966137, 13.041525
527.183155, 12.968950
527.401033, 12.896894
527.619802, 12.825366
527.839494, 12.754374
528.060140, 12.683926
528.281771, 12.614030
528.504419, 12.544694
528.728115, 12.475926
528.952891, 12.407733
529.178777, 12.340121
529.405805, 12.273098
529.634006, 12.206671
529.863412, 12.140846
530.094054, 12.075629
530.325964, 12.011026
530.559172, 11.947043
530.793710, 11.883686
531.029610, 11.820960
531.266902, 11.758871
531.505619, 11.697424
531.745790, 11.636624
531.987449, 11.576476
532.230625, 11.516985
532.475351, 11.458154
532.721658, 11.399989
532.969577, 11.342494
533.219139, 11.285673
533.470376, 11.229529
533.723318, 11.174068
533.977999, 11.119293
534.234448, 11.065207
534.492697, 11.011814
534.752777, 10.959118
535.014721, 10.907122
535.278558, 10.855829
535.544321, 10.805243
535.812040, 10.755367
536.081748, 10.706203
536.353475, 10.657756
536.627253, 10.610027
536.903113, 10.563020
537.181086, 10.516738
537.461204, 10.471183
537.743498, 10.426358
538.028000, 10.382266
538.314740, 10.338910
538.603751, 10.296292
538.895063, 10.254415
539.188708, 10.213281
539.484716, 10.172894
539.783121, 10.133256
540.083952, 10.094369
540.387241, 10.056236
540.693020, 10.018860
540.693020, 10.018860
541.007475, 9.981178
541.336599, 9.942154
541.680134, 9.901825
542.037822, 9.860232
542.409403, 9.817415
542.794619, 9.773414
543.193212, 9.728268
543.604923, 9.682016
544.029493, 9.634700
544.466665, 9.586359
544.916178, 9.537031
545.377776, 9.486757
545.851198, 9.435576
546.336188, 9.383527
546.832485, 9.330649
547.339832, 9.276979
547.857970, 9.222557
548.386640, 9.167419
548.925584, 9.111604
549.474543, 9.055149
550.033259, 8.998091
550.601474, 8.940465
551.178927, 8.882307
551.765362, 8.823653
552.360519, 8.764538
552.964140, 8.704996
553.575966, 8.645061
554.195739, 8.584767
554.823200, 8.524145
555.458091, 8.463229
556.100152, 8.402049
556.749126, 8.340638
557.404755, 8.279025
558.066778, 8.217241
558.734938, 8.155315
559.408976, 8.093275
560.088634, 8.031149
560.773653, 7.968966
561.463775, 7.906751
562.158740, 7.844531
562.858291, 7.782332
563.562169, 7.720178
564.270115, 7.658094
564.981870, 7.596104
565.697177, 7.534230
566.415776, 7.472495
567.137409, 7.410920
567.861818, 7.349528
568.588743, 7.288338
569.317927, 7.227370
570.049110, 7.166645
570.782035, 7.106179
571.516442, 7.045992
572.252073, 6.986102
572.988670, 6.926524
573.725973, 6.867276
574.463725, 6.808373
575.201666, 6.749831
575.939539, 6.691663
576.677084, 6.633885
577.414044, 6.576510
578.150159, 6.519551
578.885170, 6.463021
579.618821, 6.406931
580.350851, 6.351293
581.081002, 6.296119
581.809016, 6.241418
582.534633, 6.187201
583.257597, 6.133477
583.977647, 6.080257
584.694526, 6.027548
585.407975, 5.975358
586.117735, 5.923697
586.823547, 5.872571
587.525154, 5.821987
588.222296, 5.771953
588.914715, 5.722474
589.602153, 5.673557
590.284351, 5.625207
590.961050, 5.577430
591.631991, 5.530230
592.296917, 5.483613
592.955568, 5.437583
593.607687, 5.392144
594.253014, 5.347300
594.891290, 5.303054
595.522259, 5.259409
596.145660, 5.216370
596.761235, 5.173938
597.368725, 5.132116
597.967873, 5.090907
598.558420, 5.050312
599.140106, 5.010335
599.712674, 4.970976
600.275864, 4.932237
600.829419, 4.894120
601.373080, 4.856626
601.906587, 4.819756
602.429683, 4.783511
602.429683, 4.783511
602.873379, 4.752587
603.321817, 4.721064
603.774894, 4.688969
604.232506, 4.656326
604.694550, 4.623162
605.160921, 4.589503
605.631517, 4.555374
606.106232, 4.520800
606.584964, 4.485805
607.067608, 4.450416
607.554061, 4.414656
608.044219, 4.378549
608.537979, 4.342119
609.035235, 4.305390
609.535885, 4.268384
610.039825, 4.231125
610.546952, 4.193636
611.057160, 4.155937
611.570347, 4.118051
612.086408, 4.080000
612.605241, 4.041803
613.126740, 4.003482
613.650803, 3.965056
614.177326, 3.926546
614.706204, 3.887969
615.237334, 3.849346
615.770612, 3.810693
616.305935, 3.772030
616.843199, 3.733373
617.382299, 3.694740
617.923132, 3.656146
618.465595, 3.617607
619.009583, 3.579140
619.554993, 3.540759
620.101721, 3.502478
620.649663, 3.464313
621.198715, 3.426276
621.748774, 3.388381
622.299736, 3.350640
622.851496, 3.313066
623.403952, 3.275670
623.957000, 3.238465
624.510535, 3.201460
625.064453, 3.164667
625.618652, 3.128095
626.173028, 3.091754
626.727475, 3.055654
627.281892, 3.019802
627.836173, 2.984209
628.390216, 2.948881
628.943916, 2.913826
629.497170, 2.879052
630.049873, 2.844565
630.601923, 2.810372
631.153214, 2.776479
631.703645, 2.742892
632.253110, 2.709616
632.801505, 2.676656
633.348728, 2.644017
633.894674, 2.611703
634.439240, 2.579719
634.982322, 2.548068
635.523815, 2.516753
