# Spectrum from 'tdtomato-2pex'
# Wavelength  (nm), 2P Excitation (a.u.)
1345.000000, 0.000000
1346.000000, 0.000000
1347.000000, 0.000000
1348.000000, 0.000000
1349.000000, 0.000000
1350.000000, 0.000000
1351.000000, 0.000000
1352.000000, 0.000000
1353.000000, 0.000000
1354.000000, 0.000000
1355.000000, 0.010000
1356.000000, 0.010000
1357.000000, 0.010000
1358.000000, 0.000000
1359.000000, 0.000000
1360.000000, 0.000000
1361.000000, 0.000000
1362.000000, 0.000000
1363.000000, 0.000000
1364.000000, 0.000000
1365.000000, 0.000000
1366.000000, 0.000000
1367.000000, 0.000000
1368.000000, 0.000000
1369.000000, 0.000000
1370.000000, 0.000000
1371.000000, 0.010000
1372.000000, 0.010000
1373.000000, 0.010000
1374.000000, 0.010000
1375.000000, 0.000000
1376.000000, 0.000000
1377.000000, 0.000000
1378.000000, 0.000000
1379.000000, 0.000000
1380.000000, 0.000000
1381.000000, 0.000000
1382.000000, 0.000000
1383.000000, 0.000000
1384.000000, 0.000000
1385.000000, 0.000000
1386.000000, 0.010000
1387.000000, 0.010000
1388.000000, 0.010000
1389.000000, 0.000000
1390.000000, 0.000000
1391.000000, 0.000000
1392.000000, 0.000000
1393.000000, 0.000000
1394.000000, 0.000000
1395.000000, 0.000000
1396.000000, 0.000000
1397.000000, 0.000000
1398.000000, 0.000000
1399.000000, 0.000000
