# Wavelength (nm), Transmission (%)
486.22321,	90.82476
487.52993,	91.00857
488.67332,	91.72083
489.65336,	92.48671
490.79675,	93.05346
492.10347,	92.96155
493.08352,	92.27226
493.57354,	91.39916
494.00912,	90.18908
494.39024,	89.33130
494.39024,	88.59605
494.77137,	87.55446
494.55358,	87.03366
495.04361,	86.20652
495.04361,	85.47127
495.04361,	84.73603
495.37029,	83.81698
495.37029,	83.08174
495.37029,	82.39245
495.69697,	81.42744
495.69697,	80.69220
495.69697,	79.95696
495.69697,	79.26767
496.02365,	78.30266
496.02365,	77.56742
495.96920,	76.67900
496.18699,	76.09694
496.35033,	75.36170
496.35033,	74.62645
496.35033,	73.89121
496.35033,	73.20192
496.67701,	72.23692
496.67701,	71.50167
496.67701,	70.76643
496.67701,	70.03119
497.00370,	69.02023
497.00370,	68.28499
497.00370,	67.54975
497.00370,	66.86046
497.33038,	65.98736
497.33038,	65.25212
497.27593,	64.36370
497.65706,	63.50592
497.65706,	62.77067
497.65706,	62.03543
497.49372,	61.66781
497.98374,	60.84066
497.98374,	60.10542
497.92929,	59.27827
498.31042,	58.35922
498.25597,	57.47080
498.63710,	56.52112
498.63710,	55.78587
498.63710,	55.05063
499.01823,	53.91713
498.96378,	53.02872
499.34491,	51.89522
499.29047,	51.00680
499.67159,	49.87330
499.61715,	48.98488
499.99828,	47.85139
499.88938,	46.90170
500.27051,	45.86010
500.27051,	45.12486
500.27051,	44.38962
500.59719,	43.37866
500.59719,	42.64342
500.54274,	41.81627
500.92387,	40.89722
500.92387,	40.16198
500.86943,	39.30420
501.25055,	38.32387
501.25055,	37.58863
501.25055,	36.85339
501.25055,	36.11815
501.57724,	35.10719
501.57724,	34.37195
501.52279,	33.48353
501.74058,	32.90146
501.90392,	32.16622
501.90392,	31.43098
501.84947,	30.54256
502.06726,	29.96049
502.23060,	29.22525
502.23060,	28.49001
502.17615,	27.60159
502.55728,	26.74381
502.55728,	26.00857
502.55728,	25.27332
